circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, حركة الشعب,آفاق تونس,أمل وعمل,اتحاد الشباب الديمقراطي,اتحاد القوى الشبابية,الأحرار,الأمان,الأمانة والعدالة,الأمل,الائتلاف الديمقراطي للعمل والتنمية,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الاصلاح والتنمية,البناء الوطني,التآلف,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحرية من أجل العدالة والتنمية,الحزب التونسي,الحزب الجمهوري,الزيتونة,السلام والازدهار,الشباب الحر,الشعب يريد ,الصمود,العمل التونسي,القائمة البورقيبية,القائمة المستقلة العين الساهرة,القائمة المستقلة لخدمة منوبة,القلم,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المبادرة,المدافعون عن الحق,المستقبل,المعطلين عن العمل,النجاح,الوفاق ,تونس العزيزة,تونس الغد,تيار المحبة,حركة البناء المغاربي,حركة الديمقراطيين الاشتراكيين,حركة النهضة,حركة وفاء,حزب المجد,حزب المحافظين التونسيين,صوت شعب تونس,قائمة النور للديمقراطية والتنمية,قائمة حزب العدل والتنمية,متحدون من أجل تونس,حركة نداء تونس,نداء قرطاج,وطني,observers
5,6,6,63,3,451,267,500,1,232,233,267,500,0,0,263,2,2,267,0,False,18:27,20:35,13,2,0,0,0,0,0,1,0,0,39,0,0,0,0,1,1,6,9,0,0,2,0,0,6,0,0,0,0,1,2,1,0,0,0,0,9,1,0,0,0,1,0,1,0,1,0,0,70,0,0,0,0,0,0,0,95,1,0,العمل التونسي:1  حركة النهضة:1  نداء تونس:1  
5,6,6,63,2,451,339,500,2,159,161,339,500,0,0,332,2,5,339,0,False,19:00,21:52,13,6,0,0,0,1,1,0,0,2,39,2,0,0,0,2,1,6,14,0,1,0,0,0,5,2,2,1,0,1,2,3,0,0,0,1,5,1,0,0,0,1,0,0,0,2,0,0,108,2,1,0,0,0,0,2,104,1,0,المبادرة:1  حركة النهضة:1  الجبهة الشعبية:1  نداء تونس:1  
5,6,6,63,1,451,358,500,1,141,142,358,500,0,0,333,9,16,358,0,False,19:27,21:30,23,6,3,2,0,2,1,2,0,6,39,1,1,1,1,0,3,1,7,0,0,1,2,0,4,1,0,0,2,0,6,1,1,0,2,1,3,0,0,0,1,0,1,0,1,2,1,2,82,2,2,0,0,1,0,3,109,3,0, حركة الشعب:1  حركة النهضة:1  نداء تونس:1  
5,6,5,62,2,570,316,600,1,283,284,316,600,0,0,309,5,2,316,0,False,18:40,,4,8,0,0,0,0,0,0,1,1,82,0,1,0,1,2,3,7,6,0,0,1,2,0,1,0,1,2,1,2,6,4,1,1,0,1,5,2,0,0,1,1,0,0,2,2,0,0,37,1,0,0,0,0,2,1,112,4,0,حركة النهضة:1  القائمة البورقيبية:1  العمل التونسي:1  نداء تونس:1  
5,6,5,62,1,570,425,600,0,175,175,425,600,0,0,346,64,12,425,0,False,20:00,23:45,5,1,3,3,1,3,1,0,1,7,35,0,1,3,1,1,4,2,4,1,0,4,4,1,2,0,3,0,1,2,10,5,2,0,3,0,2,3,0,0,0,1,0,3,5,1,1,0,57,9,2,1,0,0,1,1,142,3,1,تيار المحبة:1  حركة النهضة:1  
5,6,5,61,3,490,299,600,0,301,301,299,600,0,0,292,2,5,299,0,False,19:45,22:00,22,4,1,1,0,1,1,1,0,0,31,0,0,0,0,0,4,5,10,0,0,0,0,1,2,0,0,0,0,0,4,1,0,0,0,0,8,0,0,1,2,2,0,1,1,0,0,0,70,0,0,0,0,0,0,1,117,0,0,حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
5,6,5,61,2,491,360,600,0,240,240,360,600,0,0,333,19,8,360,0,True,19.10,22.45,25,3,0,4,1,0,1,3,1,6,34,3,0,1,1,7,3,3,4,0,0,1,0,0,4,1,0,3,1,0,5,4,1,2,1,0,1,0,0,1,0,1,1,1,0,3,1,1,93,5,1,0,0,0,1,0,95,1,0,التكتل من أجل العمل والحريات:1  نداء تونس:1  تيار المحبة:1  حركة النهضة:1  
5,6,5,61,1,491,413,600,8,185,194,407,600,0,0,351,23,33,407,0,False,19:18,,26,1,4,2,2,0,0,3,3,6,34,2,1,1,1,3,1,2,4,4,1,2,0,1,1,1,2,3,3,3,8,3,6,1,3,1,2,3,2,2,1,2,0,1,6,3,1,0,76,1,1,1,1,1,3,1,99,2,3,العمل التونسي:1  نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
5,6,5,60,5,514,285,603,2,316,318,285,603,0,0,276,6,3,285,0,False,19:15,21:18,14,7,0,0,1,1,0,2,0,1,70,1,0,0,0,1,3,5,4,0,0,2,1,1,2,0,0,0,0,0,3,3,0,1,0,0,3,0,2,0,0,1,0,0,0,3,0,1,67,1,0,0,1,0,1,1,70,0,1,حركة النهضة:1  نداء تونس:1  
5,6,5,60,4,518,286,600,1,313,314,286,600,0,0,278,7,1,286,0,False,19:30,21:40,8,1,0,0,0,0,2,3,0,1,49,0,0,0,0,1,4,5,13,1,0,2,1,0,1,0,1,1,0,1,6,0,0,2,0,2,2,1,1,0,1,3,1,0,0,4,0,0,73,2,0,0,1,0,0,0,84,0,0, حركة الشعب:  حركة النهضة:  نداء تونس:  
