circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أمانة,أمن شامل لانقاذ تونس,اتحاد الشباب الديمقراطي,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارادة,التحالف الديمقراطي,التكتل من اجل العمل والحريات,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجريد,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الشعب يريد,الصمود,العقل مفتاح التطور والنمر,العمل والأمل,العين الحمراء,المؤتمر من أجل الجمهورية,النخلة,تونس العزيزة,تيار المحبة,جبهة الاحرار,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة وفاء,حزب الأمان,حزب الغد,حزب النور للديمقراطية والتنمية,شمس الجنوب,صحوة الجريد,صوت الجريد,صوت شعب تونس,كلمة حق,لمجد الجريد,حركة نداء تونس,ولاء,observers
18,5,1,42,3,590,415,700,0,285,285,415,700,0,0,403,8,4,415,0,False,18.00,,0,0,0,0,2,71,2,25,3,0,0,3,0,0,8,2,0,0,2,0,4,0,0,2,0,0,1,2,7,183,10,0,0,3,0,0,1,0,0,5,53,14,الارادة:1  الحزب الجمهوري:1  حركة النهضة:1  لمجد الجريد:1  نداء تونس:1  
18,5,1,42,2,590,434,700,1,265,266,434,700,0,0,412,12,10,434,0,False,"18,32","21,38",3,0,2,0,5,65,5,26,1,4,1,4,1,0,5,0,2,1,3,0,2,2,0,1,0,0,1,2,3,184,6,1,0,1,0,0,3,1,2,6,50,19,حركة النهضة:  نداء تونس:  
18,5,1,42,1,590,407,700,0,293,293,407,700,0,0,379,10,18,407,0,False,"18,30","21,40",0,3,1,0,5,49,4,26,1,2,0,7,1,2,10,2,0,2,1,1,1,1,1,2,1,0,0,4,1,147,6,0,0,5,3,0,1,2,1,5,59,22,الحزب الجمهوري:  حزب النور للديمقراطية والتنمية:  الجبهة الشعبية:  نداء تونس:  
18,3,1,26,1,45,22,100,0,78,78,22,100,0,0,22,0,0,22,0,False,18:00,,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,1,0,0,:  
18,3,1,25,2,562,330,600,0,270,270,330,600,0,0,318,6,6,330,0,False,1920,2143,0,1,0,0,5,1,1,11,0,1,0,1,0,0,2,0,199,0,0,1,1,0,1,1,0,0,1,0,2,36,1,0,0,0,0,5,1,0,0,38,8,0,حركة النهضة:1  الاتحاد الوطني الحر:1  
18,3,1,25,1,563,427,600,3,170,173,427,600,0,0,388,28,11,427,0,False,1830,2142,3,1,0,1,9,1,0,7,1,1,0,2,0,1,3,1,224,0,2,2,1,4,0,3,2,2,0,1,8,61,2,2,0,0,5,1,3,0,1,24,8,1,المؤتمر من أجل الجمهورية:1  الحزب الجمهوري:1  لمجد الجريد:1  حركة النهضة:1  الاتحاد الوطني الحر:1  
18,3,1,24,3,558,324,600,0,276,276,324,600,0,0,319,2,3,324,0,False,1830,2110,0,0,0,0,14,2,1,6,2,1,1,0,1,0,5,0,33,0,0,0,7,1,3,0,0,1,0,0,0,73,4,0,0,0,1,7,2,1,0,24,29,0,حركة النهضة:1  الحزب الجمهوري:1  لمجد الجريد:1  
18,3,1,24,2,560,411,600,0,189,189,411,600,0,0,403,4,4,411,0,False,1830,2200,0,1,1,0,13,1,1,12,2,0,2,0,0,0,4,0,161,0,0,0,10,0,2,0,0,1,0,0,1,136,4,1,0,0,1,1,1,0,2,18,27,0,حركة النهضة:1  
18,3,1,24,1,560,455,600,3,142,145,455,600,0,0,416,23,16,455,0,False,1830,2120,5,1,1,1,10,2,2,8,1,1,1,0,1,2,5,1,117,2,1,2,9,1,3,2,0,2,3,1,3,147,7,0,1,2,1,3,0,1,1,21,44,0,حركة النهضة:1  الاتحاد الوطني الحر:1  
18,4,7,41,2,598,343,700,0,358,358,342,700,0,1,330,5,7,342,0,False,18:30,21:37,4,5,1,1,13,4,41,55,2,3,0,2,2,0,16,0,6,1,1,0,7,2,4,1,0,1,1,2,0,52,2,33,1,1,1,0,5,8,0,21,29,2,آفاق تونس:1  جبهة الاحرار:1  لمجد الجريد:1  الارادة:1  حركة النهضة:1  تونس العزيزة:1  الاتحاد الوطني الحر:1  نداء تونس:1  
