circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أجيال التحدي,أهداف الثورة أولا,االتكتل من اجل العمل والحريات,اتحاد القوى الشبابية,الأصالة,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغاربي,الطليعة الشبابية,العريضة الشعبية,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المستقبل من أجل تونس,الوحدويين الاحرار,الوفاء لمشروع الشهيد,اليسر,تونس العزيزة,تونسنا الغالية,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب العمل التونسي,حزب المبادرة,حزب المجد,حزب الوسط الاجتماعي,صفاقسنا,صوت الريف,صوت صفاقس,قوى 14 جانفي,observers
24,6,4,106,6,537,370,600,0,230,230,370,600,0,0,369,1,0,370,0,False,1900,2200,31,0,0,4,0,0,6,0,6,23,0,18,0,1,0,1,5,0,0,1,1,9,0,0,0,0,0,0,5,0,0,2,76,165,4,4,0,0,0,0,0,1,6,0,حركة نداء تونس:1  حركة النهضة:1  
24,6,4,106,5,537,448,599,3,148,151,448,599,0,0,446,1,1,448,0,False,19:24,22,24,1,0,1,0,0,4,3,8,12,0,23,0,1,0,0,12,0,0,0,1,7,0,0,0,0,1,0,0,1,0,0,106,229,1,3,1,1,0,2,0,0,4,0,حركة النهضة:1  حركة نداء تونس:1  حزب المبادرة:2  
24,6,4,106,4,537,442,600,1,157,158,442,600,0,0,438,2,2,442,0,False,18:30,22:30,21,0,0,4,0,0,7,8,1,18,0,29,0,1,1,1,6,1,0,2,0,9,0,0,1,0,2,0,0,0,0,1,110,197,5,1,0,1,1,1,2,0,6,1,التحالف الديمقراطي:1  حركة نداء تونس:1  حركة النهضة:1  
24,6,4,106,3,537,458,600,1,141,142,458,600,0,0,454,1,3,458,0,False,1900,2200,18,0,0,6,0,0,7,3,6,13,0,30,0,1,2,0,11,0,0,0,0,6,1,0,0,0,1,1,1,0,0,0,107,229,3,2,1,0,0,1,0,0,4,0,حركة النهضة:1  حركة نداء تونس:1  تونس العزيزة:1  
24,6,4,106,2,537,446,600,0,154,154,446,600,0,0,439,6,1,446,0,False,18:30,21:20,16,0,0,1,0,0,7,3,3,14,0,30,0,0,0,0,5,0,1,0,0,3,2,1,2,0,3,0,1,2,0,3,73,247,1,2,3,3,1,2,0,1,8,1,الاتحاد من اجل تونس:1  حركة النهضة:1  حركة نداء تونس:1  
24,6,4,106,1,537,445,600,1,154,155,445,600,0,0,439,2,4,445,0,False,18:30,21:30,20,0,0,3,0,0,2,7,7,16,0,19,0,1,0,0,3,1,2,0,1,2,0,1,0,0,2,1,0,1,0,0,85,251,5,0,3,1,1,1,0,0,2,1,حركة النهضة:1  حزب المبادرة:1  حركة نداء تونس:1  
24,6,4,105,4,575,419,700,8,273,281,419,700,0,0,413,6,0,419,0,False,18:40,22:00,17,0,1,4,0,0,14,3,8,19,0,23,0,1,0,0,4,0,0,1,1,9,0,0,0,0,12,0,0,0,0,0,88,178,5,1,2,0,1,0,0,1,19,1,التحالف الديمقراطي:1  الاتحاد الوطني الحر:1  آفاق تونس:1  حركة نداء تونس:1  
24,6,4,105,3,576,457,700,1,242,243,457,700,0,0,455,1,1,457,0,False,18:30,21:30,20,0,0,5,1,0,2,2,8,26,0,29,1,0,1,1,5,0,0,1,0,8,0,1,1,0,12,0,7,0,0,4,120,186,4,2,0,1,0,0,1,0,6,0,الاتحاد من اجل تونس:1  حركة النهضة:1  حركة نداء تونس:1  
24,6,4,105,2,576,481,692,3,208,211,481,692,0,0,474,6,1,481,0,False,19:05,22:05,16,1,0,6,0,0,9,1,6,18,0,31,0,1,1,2,4,0,3,1,0,9,1,0,1,0,11,1,0,0,0,1,133,203,2,0,3,4,1,0,1,0,3,0,الجبهة الشعبية:1  حركة نداء تونس:1  حركة النهضة:1  تونس العزيزة:1  
24,6,4,105,1,576,465,700,12,225,237,463,700,0,2,451,10,2,463,0,False,19:10,21:40,3,2,9,1,2,0,2,2,2,0,0,0,0,48,7,0,4,0,4,1,9,0,18,25,0,3,1,0,0,0,2,1,4,6,2,0,2,3,0,2,2,0,1,1,10,0,34,0,0,0,1,0,1,16,3,3,4,1,2,3,1,1,0,0,3,5,80,105,214,4,1,6,1,1,5,3,0,4,0,2,0,1,1,1,1,0,7,1,117,حركة نداء تونس:2  حركة النهضة:1  آفاق تونس:1  
24,6,3,104,3,577,437,700,0,263,263,437,700,0,0,434,0,3,437,0,False,18h30,22h,25,0,0,1,1,0,16,0,5,24,0,30,0,1,0,0,12,0,2,0,1,7,0,0,0,0,1,0,3,0,2,3,86,188,3,2,0,3,2,2,2,0,12,0,حركة نداء تونس:1  الاتحاد الوطني الحر:3  حركة النهضة:2  
24,6,3,104,2,579,465,700,1,234,235,465,700,0,0,462,3,0,465,0,False,18,20:25,20,0,0,1,0,1,7,0,9,22,0,27,0,3,1,0,7,0,0,0,0,8,0,0,2,0,0,1,7,0,0,2,112,213,4,5,1,2,1,0,0,0,6,0,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
