circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,أبناء الشعب,أمن شامل لانقاذ تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البناء الوطني,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغربي,الحزب الليبرالي التونسي,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,القائمة البرقيبية,المؤتمر من أجل الجمهورية,النور للديمقراطية والتنمية,اليد في اليد,تونس للجميع,تيار المحبة الائتلافية ,تيار صوت الشعب الحر,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب التكتل,حزب العمل التونسي,حزب اللقاء الدستوري,حزب المبادرة,حزب المجد,صوت شعب تونس,عزم-توكل-بناء,لنا الحق,محيطنا نماء لثروتنا,نداء قرطاج,observers
2,6,3,52,7,596,509,700,4,187,191,509,700,0,0,505,1,3,509,0,True,18h45,21h25,0,0,0,0,46,1,3,15,0,3,11,0,14,0,3,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,373,2,2,0,0,5,1,0,0,0,0,0,حركة نداء تونس:1  
2,6,3,52,6,596,494,700,3,203,206,494,700,0,0,487,4,3,494,0,True,1905,2230,0,2,0,0,35,1,4,14,0,7,6,0,13,1,1,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,41,339,0,3,0,0,5,1,1,0,0,0,2,حركة نداء تونس:2  
2,6,3,52,5,596,542,700,2,157,159,541,700,0,1,539,0,2,541,0,False,19:15,22:50,0,1,0,0,42,1,4,16,1,7,16,0,8,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,45,382,3,1,0,0,2,0,0,0,0,0,1,حركة النهضة:1  حركة نداء تونس:1  
2,6,3,52,4,596,532,700,1,167,168,532,700,0,0,527,3,2,532,0,False,19:15,22:06,0,0,0,0,19,0,4,13,0,4,9,0,18,0,2,0,5,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,60,379,1,2,0,0,2,0,0,1,0,0,0,الاتحاد من أجل تونس :1  حركة نداء تونس:1  حزب المبادرة:1  
2,6,3,52,3,596,556,699,5,138,143,556,699,0,0,554,1,1,556,0,True,18h55,22h55,0,1,0,0,17,2,2,19,0,2,7,1,20,1,3,0,5,0,0,0,0,1,4,0,0,2,1,0,0,0,0,0,52,404,1,2,0,0,4,0,2,0,0,1,0,حركة النهضة:1  حركة نداء تونس:2  
2,6,3,52,2,596,556,700,3,141,144,556,700,0,0,553,3,0,556,0,True,19h,21h50,0,4,0,0,7,0,3,14,0,6,3,1,8,1,2,0,10,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,47,428,2,4,0,0,7,0,0,0,0,1,0,حركة النهضة:1  حركة نداء تونس:1  افاق تونس:1  الحزب الجمهوري:1  
2,6,3,52,1,596,554,700,5,141,146,554,700,0,0,551,3,0,554,0,True,19:20,22:45,0,0,0,1,21,0,4,19,0,5,7,2,7,0,2,0,6,0,1,0,1,1,2,0,1,0,2,0,0,0,0,2,39,415,0,7,1,0,2,0,0,0,0,1,2,حركة النهضة:1  حركة نداء تونس:1  افاق تونس:1  الجبهة الشعبية:1  
2,6,3,51,7,567,464,600,1,135,136,464,600,0,0,460,4,0,464,0,False,18:45,22:50,0,0,0,0,47,0,10,23,0,3,11,0,14,0,1,0,5,0,0,0,0,0,7,3,0,0,0,0,0,0,0,1,29,301,2,2,0,0,1,0,0,0,0,0,0,افاق تونس:1  حركة نداء تونس:1  حركة النهضة:1  
2,6,3,51,6,570,474,600,4,122,126,474,600,0,0,472,1,1,474,0,False,18:30,22:00,1,0,0,0,35,0,4,31,1,4,12,0,12,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,33,316,3,5,0,0,1,1,0,0,0,0,0,حركة النهضة:1  حركة نداء تونس:2  افاق تونس:1  
2,6,3,51,5,570,501,600,1,98,99,501,600,0,0,498,2,1,501,0,False,19:05,22:00,0,0,0,1,35,0,6,15,0,7,15,0,11,0,0,0,7,0,0,0,0,1,9,0,0,0,2,0,0,0,0,0,55,320,1,7,0,0,5,1,0,0,0,0,0,حركة نداء تونس:1  حركة النهضة:2  
