circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الاصلاح والمواطنة ,الانقاذ,التحالف الديمقراطي,التطلع,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحزب الجمهوري,الحزب الديمراطي للعدالة والرخاء,الرفاهة,الشباب الديمقراطي,الشعب يريد,العدالة والتنمية,العزة لتونس,العزم والارادة والعمل,المؤتمر من أجل الجمهورية,المبادرة,تيار المحبة ,تيار صوت الشعب الحر,حركة التونسي,حركة النهضة,حركة وفاء,حزب المجد,صوت شعب تونس,فلاح,حركة نداء تونس,نضال كريم,observers
21,7,11,129,1,175,111,200,0,89,89,111,200,0,0,102,5,4,111,0,False,1820,2003,2,0,5,0,4,0,0,1,0,3,0,0,1,1,0,0,0,0,1,5,4,2,0,0,39,3,2,0,0,28,1,حركة النهضة:1  نداء تونس:1  آفاق تونس:1  
21,7,11,128,2,307,191,398,1,206,207,191,398,0,0,170,13,8,191,0,False,1818,2005,8,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,2,2,0,0,0,49,2,1,0,1,96,1,نداء تونس:2  حركة النهضة:2  آفاق تونس:1  
21,7,11,128,1,308,237,400,0,163,163,237,400,0,0,208,28,1,237,0,False,19.00,21.45,10,0,3,1,1,0,0,2,2,2,1,0,1,3,0,3,0,0,0,0,4,3,0,0,29,2,2,1,3,133,2,حركة النهضة:2  آفاق تونس:1  نداء تونس:1  
21,7,11,127,2,462,319,498,2,177,179,319,498,0,0,302,5,12,319,0,False,19.00,22.30,15,0,2,0,14,0,1,2,0,6,0,1,0,2,0,0,0,1,0,1,3,1,0,0,110,2,1,0,0,139,1,حركة النهضة:1  نداء تونس:1  
21,7,11,127,1,462,367,500,20,116,136,364,500,0,3,364,20,16,400,36,False,1830,,7,0,5,5,9,1,1,3,0,5,1,1,0,3,0,6,1,1,1,2,3,1,2,0,91,5,1,0,6,166,1,حركة النهضة:2  نداء تونس:2  آفاق تونس:1  تيار المحبة :1  
21,7,10,126,1,325,226,400,0,174,174,226,400,0,0,204,14,8,226,0,False,18.00,19.30,5,0,2,0,27,0,0,1,2,0,9,1,0,3,0,0,0,0,0,3,3,4,0,0,48,1,0,0,3,91,1,حركة النهضة:2  نداء تونس:1  
21,7,10,125,1,241,159,301,0,142,142,159,301,0,0,145,6,8,159,0,False,1810,1945,6,0,4,2,2,2,2,5,1,0,0,7,0,0,0,2,0,0,0,0,3,0,5,0,66,0,2,2,1,33,0,حركة النهضة:1  نداء تونس:1  
21,7,10,124,1,181,121,200,1,78,79,121,200,0,0,117,2,2,121,0,False,18:30,19:41,15,0,0,1,10,0,0,1,2,1,0,1,0,1,0,0,1,0,0,0,3,1,2,0,27,2,0,0,0,48,1,آفاق تونس:1  نداء تونس:2  حركة النهضة:1  
21,7,9,123,1,420,251,500,0,249,249,251,500,0,0,200,27,24,251,0,False,18:00,19:45,14,1,5,2,3,0,2,1,0,2,3,3,1,2,2,3,3,2,1,1,2,3,0,2,75,1,4,2,2,57,1,آفاق تونس:1  حركة النهضة:1  نداء تونس:1  
21,7,8,122,1,290,196,398,0,202,202,196,398,0,0,185,6,5,196,0,False,"18,26","20,30",26,1,1,1,1,0,0,1,0,3,2,5,0,2,1,1,0,0,0,0,0,2,2,1,71,3,2,4,1,54,0,حركة النهضة:  نداء تونس:3  
21,7,8,121,2,371,211,400,0,189,189,211,400,0,0,204,2,5,211,0,False,"18,15","20,15",13,0,3,0,1,1,0,0,0,3,0,4,0,2,0,0,0,0,1,1,2,2,0,0,85,0,4,2,0,81,0,نداء تونس:2  حركة النهضة:2  
21,7,8,121,1,371,284,400,0,116,116,284,400,0,0,249,12,23,284,0,False,18:30,20:20,10,0,5,3,1,0,1,1,1,3,4,2,1,0,3,2,2,0,3,3,3,6,1,1,83,2,2,4,6,94,2,آفاق تونس:  حركة النهضة:2  نداء تونس:2  
21,7,7,120,2,343,182,400,1,217,218,182,400,0,0,158,20,4,182,0,False,18:20,20:35,15,0,7,1,1,0,2,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,29,1,1,0,0,93,0,آفاق تونس:  حركة النهضة:  نداء تونس:3  
21,7,7,120,1,344,250,400,1,149,150,250,400,0,0,199,47,4,250,0,False,18:10,19:55,13,0,7,2,4,0,1,0,0,3,1,2,1,2,1,3,1,1,1,2,1,1,0,0,38,2,0,0,2,109,1,حركة النهضة:  نداء تونس:2  :  
21,7,6,119,1,288,232,396,10,154,164,232,396,0,0,216,3,13,232,0,True,18:30,21:15,9,0,2,1,0,0,1,0,0,2,1,0,0,4,0,0,0,1,0,1,3,0,0,0,67,0,2,0,0,121,1,آفاق تونس:2  حركة النهضة:  نداء تونس:  
21,7,6,118,1,230,137,300,0,163,163,137,300,0,137,126,4,7,137,0,False,18:30,19:54,3,0,2,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,1,0,46,0,0,0,1,62,2,حركة النهضة:2  نداء تونس:2  
21,7,5,117,3,503,325,600,5,270,275,325,600,0,0,293,18,14,325,0,False,18:30,20:40,12,1,7,2,2,1,0,0,0,2,0,2,0,0,0,0,1,0,3,0,3,5,3,1,106,6,0,0,1,135,0,المؤتمر من أجل الجمهورية:  آفاق تونس:  حركة النهضة:  نداء تونس:  
21,7,5,117,2,505,363,600,49,188,237,363,600,0,0,348,5,10,363,0,True,18:15,21:37,17,0,16,0,3,0,2,3,0,1,4,3,0,2,1,0,1,0,1,0,3,2,1,1,114,4,1,0,0,167,1,آفاق تونس:  نداء تونس:  حركة النهضة:  
21,7,5,117,1,505,388,600,5,203,208,388,596,4,0,314,18,56,388,0,True,18.00,22.00,10,1,8,6,3,3,0,3,0,1,5,2,1,3,1,3,3,0,0,1,3,3,2,0,71,5,1,4,1,168,2,حركة النهضة:1  نداء تونس:1  حركة التونسي:1  
21,7,4,116,2,308,176,400,0,224,224,176,400,0,0,152,8,16,176,0,False,,1935,11,0,3,2,4,0,3,1,0,3,3,2,0,0,2,0,2,0,0,3,4,0,2,1,10,3,0,1,1,90,1,حركة النهضة:2  نداء تونس:2  
21,7,4,116,1,309,198,400,5,197,202,198,400,0,0,146,21,31,198,0,False,18h10,20h15,6,1,0,4,3,1,2,2,2,1,3,2,0,0,1,3,0,0,0,0,6,4,0,2,10,3,1,1,3,83,2,حركة النهضة:1  نداء تونس:1  آفاق تونس:1  المبادرة:1  الجبهة الشعبية:1  
21,7,3,115,2,326,207,400,2,191,193,207,400,0,0,202,5,0,207,0,False,18.30,20.37,45,1,4,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,1,2,0,1,0,0,19,2,0,0,0,119,0,آفاق تونس:2  حركة النهضة:1  نداء تونس:2  
