circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, اتحاد الشباب الديمقراطي التونسي,ائتلاف جبهة قابس,اتحاد القوى الشبابية,اتحاد شباب تونس,اصحاب الحق,آفاق تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارض الطيبة,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحزب الجمهوري,الشعب يريد,الضمير,العدل,العمل والتنمية العادلة,القطب البيئي بقابس,المؤتمر من اجل الجمهورية,المبادرة الوطنية الدستورية,المجد للوطن,المستقلون الاحرار,النتمية اولا,النخلة,تونس العزيزة,تيار المحبة,تيار النزاهة,حركة البناء المغاربي,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة اللقاء الدستوري,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الامان,حزب البناء الوطني,حزب الغد,حزب الوحدة,صوت شعب تونس,قابس اولا,قابس في القلب,كلنا قابس,observers
25,1,3,5,2,554,452,600,3,146,149,451,600,0,1,441,5,5,451,0,True,18:30,22:09,0,3,0,0,9,1,18,0,1,0,1,5,11,3,2,1,0,0,0,0,8,0,1,2,0,4,0,1,3,0,2,0,0,12,0,286,61,0,1,0,1,2,1,0,1,0,حركة نداء تونس:1  حركة النهضة:1  التكتل من أجل العمل والحريات:1  الاتحاد الوطني الحر:1  
25,1,3,5,1,554,412,607,1,194,195,412,607,0,0,368,23,21,412,0,False,19:00,21:43,0,0,2,0,3,1,22,1,2,2,1,2,3,0,1,1,1,1,0,3,3,4,1,3,2,4,1,2,0,0,1,0,2,9,3,214,63,1,3,0,0,0,2,1,3,0,حركة الشعب:1  التكتل من أجل العمل والحريات:1  صوت شعب تونس:1  حركة نداء تونس:1  الحزب الجمهوري:1  حركة النهضة:1  
25,1,2,4,2,399,245,500,0,255,255,245,500,0,0,239,3,3,245,0,False,18:15,20:20,2,2,1,0,0,1,17,0,0,0,3,3,5,2,4,0,0,0,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,1,1,150,30,0,1,1,0,0,2,0,0,0,حركة نداء تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  افاق تونس:1  
25,1,2,4,1,399,288,501,1,213,214,287,501,0,1,274,5,8,287,0,False,19.10,20.45,1,1,0,0,2,0,11,0,0,1,2,3,5,1,0,0,0,0,1,1,9,2,3,1,0,0,1,1,2,0,2,0,1,10,0,163,39,1,1,1,2,3,1,0,1,1,الاتحاد الوطني الحر:1  افاق تونس:1  الحزب الجمهوري:1  حركة النهضة:1  
25,1,2,3,7,596,349,700,0,351,351,349,700,0,0,339,7,3,349,0,False,1820,2105,5,5,0,1,3,1,37,0,0,0,6,4,5,0,2,0,0,0,0,1,8,0,4,0,0,0,0,0,1,0,1,0,1,5,0,210,34,0,1,0,0,1,0,0,2,1,حركة الشعب:1  حركة نداء تونس:1  حركة النهضة:1  الحزب الجمهوري:1  
25,1,2,3,6,598,350,700,0,350,350,350,700,0,0,341,4,5,350,0,True,1845,,4,5,0,2,5,1,26,1,0,1,7,7,4,0,5,0,0,1,1,1,17,0,6,1,0,0,1,2,0,0,0,0,0,8,0,192,35,0,0,0,1,2,0,0,5,0,افاق تونس:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  حركة الشعب:1  
25,1,2,3,5,598,363,700,1,336,337,363,700,0,0,354,8,1,363,0,False,18:30,21:45,1,1,0,2,2,1,18,0,0,0,4,5,3,1,3,0,0,1,2,0,12,1,3,0,0,1,1,0,0,0,0,0,2,4,1,243,33,2,2,1,0,1,1,1,0,1,الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  الحزب الجمهوري:1  
25,1,2,3,4,598,435,700,1,264,265,435,700,0,0,420,6,9,435,0,False,18:10,21:14,1,4,0,0,3,0,19,0,0,2,4,7,4,0,2,1,0,1,1,0,15,1,5,1,0,1,1,0,4,0,1,0,0,15,0,278,38,0,0,0,3,5,1,0,2,0,حركة النهضة:1  التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
25,1,2,3,3,598,453,700,1,246,247,453,700,0,0,445,5,3,453,0,False,825,2043,3,8,0,5,3,1,23,0,1,2,4,9,12,0,2,2,1,0,0,1,12,3,6,0,0,2,0,1,2,0,1,0,0,10,2,282,38,1,0,0,0,6,1,0,1,0,التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  المؤتمر من اجل الجمهورية:1  حركة النهضة:1  
25,1,2,3,2,598,390,700,0,310,310,390,700,0,0,347,19,24,390,0,True,1800,2123,4,2,0,1,1,1,18,2,0,0,2,1,10,2,0,1,3,2,0,4,3,5,9,5,1,3,2,2,0,1,0,0,0,13,1,194,33,1,1,2,5,1,4,1,4,2,حركة النهضة:2  افاق تونس:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
25,1,2,3,1,598,459,700,0,241,241,459,700,0,0,409,42,8,459,0,False,1800,2200,1,4,1,0,0,1,18,0,0,1,8,4,8,0,4,3,1,3,1,2,5,1,7,6,2,0,1,5,1,0,0,0,2,8,0,237,55,1,2,3,2,1,2,2,5,1,حركة نداء تونس:1  حركة النهضة:1  حركة الشعب:1  الاتحاد الوطني الحر:1  
25,1,1,2,2,327,199,400,0,201,201,199,400,0,0,189,4,6,199,0,False,1800,2035,0,0,0,0,1,0,6,0,0,0,2,1,3,1,1,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,1,4,1,143,11,0,0,0,0,1,3,2,2,0,حركة نداء تونس:1  صوت شعب تونس:1  التكتل من أجل العمل والحريات:1  حركة النهضة:1  الاتحاد الوطني الحر:1  
25,1,1,2,1,327,252,400,0,148,148,252,400,0,0,229,18,5,252,0,False,1838,2051,0,1,0,2,0,1,7,0,0,0,4,1,2,2,0,0,1,2,0,0,4,0,8,1,0,0,0,0,0,0,3,0,0,5,1,156,16,0,3,0,1,1,0,0,6,1,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  
25,1,1,1,3,541,333,600,1,266,267,333,600,0,0,329,3,1,333,0,False,18:38,20:15,2,1,0,2,1,1,28,0,0,1,2,2,2,4,1,0,0,0,1,0,13,0,0,0,2,1,1,4,0,0,1,0,0,10,1,216,28,0,0,1,0,2,0,1,0,0,الاتحاد الوطني الحر:1  حركة نداء تونس:1  صوت شعب تونس:1  حركة النهضة:1  
25,1,1,1,2,542,387,600,0,213,213,387,600,0,0,366,9,12,387,0,False,18:27,20:53,4,3,0,2,1,0,31,0,0,0,0,2,2,2,1,1,1,0,1,0,3,3,0,0,0,0,1,3,1,1,0,0,0,13,0,254,24,0,0,2,0,1,2,0,6,1,الحزب الجمهوري:1  حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
25,1,1,1,1,542,397,600,0,203,203,397,600,0,0,344,38,15,397,0,False,1841,2145,0,3,3,4,0,1,18,1,0,2,4,1,3,3,1,3,3,2,0,1,9,3,3,7,1,1,0,3,0,0,2,0,0,10,1,207,30,0,0,2,1,2,1,0,6,2,حركة الشعب:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  المؤتمر من اجل الجمهورية:1  صوت شعب تونس:1  حركة النهضة:1  حزب الوحدة:1  
25,3,3,43,3,597,343,700,0,357,357,343,700,0,0,341,2,0,343,0,False,18:30,21:30,1,0,0,0,0,4,11,2,0,0,1,1,0,0,0,0,1,0,0,0,52,1,0,0,1,1,0,0,0,0,2,0,1,0,0,206,48,3,0,0,2,1,0,1,0,1,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
25,3,3,43,2,599,409,700,0,291,291,409,700,0,0,399,4,6,409,0,False,18:30,21:48,0,0,0,0,1,3,8,1,0,0,2,1,0,0,1,0,2,0,0,0,39,1,0,0,0,0,0,0,0,0,3,0,2,2,0,287,36,2,0,0,2,3,1,0,0,2,حركة النهضة:1  افاق تونس:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  
25,3,3,43,1,599,428,700,0,272,272,428,700,0,0,405,11,12,428,0,False,18:30,20:32,0,1,0,5,2,3,9,1,0,0,1,1,0,1,5,0,1,3,0,0,23,3,2,0,1,3,0,0,1,1,1,1,1,1,0,266,59,2,0,0,1,1,2,1,1,1,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  المؤتمر من اجل الجمهورية:1  
25,3,2,42,2,398,238,500,0,262,262,238,238,262,0,232,5,1,238,0,False,18:40,21:00,0,1,0,0,0,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,11,0,0,0,0,3,1,2,0,0,0,0,0,0,0,160,38,3,0,0,0,3,0,0,0,3,حركة النهضة:1  حركة نداء تونس:1  الاتحاد من أجل تونس :1  الاتحاد الوطني الحر:1  
25,3,2,42,1,399,295,500,1,204,205,295,500,0,0,286,3,6,295,0,False,18:45,21:00,0,0,0,0,0,5,2,0,0,0,1,1,0,0,0,2,0,2,0,0,10,0,2,1,1,3,0,0,0,0,3,1,2,0,0,202,40,1,2,0,1,1,1,0,1,1,الاتحاد الوطني الحر:1  افاق تونس:1  حركة النهضة:1  حركة نداء تونس:1  
25,3,2,41,2,538,325,601,2,274,276,325,601,0,0,317,3,5,325,0,False,18:23,20:35,1,0,0,1,2,4,16,0,0,1,1,5,1,0,2,0,0,1,0,1,12,1,1,3,1,2,2,5,1,0,0,0,0,0,0,198,51,0,0,0,1,3,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  
25,3,2,41,1,538,416,600,2,183,185,415,600,0,1,386,23,6,415,0,False,18:32,20:59,0,0,0,3,2,5,12,0,1,0,1,2,2,0,2,3,1,0,2,2,15,2,6,1,4,7,0,6,0,1,1,1,2,1,1,214,70,3,2,2,2,3,1,1,2,0,حركة النهضة:2  حركة نداء تونس:1  افاق تونس:1  
