circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,الائتلاف المستقل لحركة نور تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الانفتاح والوفاء,التحالف الديمقراطي,التقارب,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحراك الاجتماعي,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الاسلامي التونسي,الحزب الاشتراكي,الحزب الجمهوري,الشعب يريد,اللقاء الدستوري,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة الوحدة الشعبية,حركة وفاء,حزب الأمان,حزب العدالة والتنمية,حزب المبادرة,حزب المصالحة بالمنستير,حركة النهضة,دولة حق,زرقاء اليمامة,شمس المحبة,شهداء تونس,صوت شعب تونس,قائمة تصحيح المسار,قائمة حزب المؤتمر من أجل الجمهورية,حركة نداء تونس,observers
22,11,3,129,5,572,372,700,1,327,328,372,700,0,0,366,3,3,372,0,True,1800,,52,0,14,1,1,1,0,1,5,4,0,0,0,0,0,3,2,0,2,0,0,0,2,0,2,8,0,98,0,0,0,0,0,1,2,173,آفاق تونس:  نداء تونس:  الاتحاد الوطني الحر:  حزب حركة النهضة:  
22,11,3,129,4,572,421,600,2,177,179,421,600,0,0,413,3,5,421,0,True,1820,2140,38,0,8,0,0,1,1,1,6,5,0,0,0,1,0,2,1,1,1,0,3,0,1,0,0,4,0,120,1,0,0,0,0,0,6,212,حزب حركة النهضة:  نداء تونس:  
22,11,3,129,3,572,443,600,0,157,157,443,600,0,0,440,3,0,443,0,True,18,"21,30",28,0,8,1,0,0,0,1,6,5,0,1,0,2,0,3,0,0,4,0,0,0,2,0,2,6,1,167,1,2,0,0,0,0,0,200,آفاق تونس:  نداء تونس:  حزب حركة النهضة:  
22,11,3,129,2,572,471,600,3,126,129,471,600,0,0,453,6,12,471,0,True,1830,,19,1,4,1,1,0,0,1,4,5,1,1,0,2,0,2,1,2,2,0,4,1,1,0,2,7,2,137,0,1,3,1,1,7,2,237,الاتحاد الوطني الحر:  حزب حركة النهضة:  الحزب الاسلامي التونسي:  
22,11,3,129,1,572,452,700,2,246,248,452,700,0,0,427,16,9,452,0,True,"19,06","21,30",21,2,1,0,1,1,0,1,4,5,0,1,1,1,2,0,1,2,5,3,1,3,3,1,5,14,0,105,2,1,1,3,1,4,4,227,حزب حركة النهضة:  الاتحاد الوطني الحر:  نداء تونس:  
22,11,2,128,3,466,280,500,3,217,220,280,500,0,0,275,2,3,280,0,True,18:40,20:20,21,0,10,1,0,0,0,0,5,5,1,0,0,0,0,1,0,0,4,0,0,0,4,0,0,5,0,88,0,1,0,1,0,0,4,124,حزب حركة النهضة:1  نداء تونس:2  
22,11,2,128,2,466,345,500,2,154,156,344,500,0,1,336,4,4,344,0,True,1815,2106,21,1,9,0,1,0,0,1,7,3,0,0,0,2,0,1,0,0,3,1,3,0,2,0,0,8,0,128,0,0,0,2,0,0,1,142,حزب حركة النهضة:1  نداء تونس:1  آفاق تونس:1  
22,11,2,128,1,466,376,500,0,124,124,376,500,0,0,357,4,15,376,0,True,18:10,20:35,23,0,11,1,1,1,1,0,3,8,0,0,0,1,0,2,1,0,1,0,4,0,3,0,1,5,3,106,1,0,0,2,1,3,2,172,حزب حركة النهضة:1  نداء تونس:1  
22,11,1,127,7,565,345,600,1,254,255,345,600,0,0,337,6,2,345,0,True,1815,,33,0,10,2,1,0,1,0,7,5,0,1,2,0,0,3,0,0,6,0,0,0,0,1,0,2,0,88,1,2,1,1,0,0,2,168,حزب حركة النهضة:1  آفاق تونس:1  نداء تونس:1  
22,11,1,127,6,567,384,600,0,216,216,384,600,0,0,380,2,2,384,0,True,1836,2005,40,0,7,0,0,1,1,2,10,8,0,1,0,0,0,1,0,1,4,0,0,0,3,1,0,4,1,87,0,0,0,0,0,0,2,206,حزب حركة النهضة:1  نداء تونس:1  
