circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإنصاف , التحالف الديمقراطي,الجبهة الشعبية, الجبهة الوطنية التونسية, الحركة الدستورية, الحرية , الحزب الجمهوري , الشعب يريد , العدالة والتنمية, تونس العزيزة , تيار المحبة , حركة التونسي, حركة الديمقراطيين الإشتراكيين ,حركة النهضة, حركة الوحدويين الأحرار ,حركة نداء تونس, حركة وفاء, حزب الأمان , حزب التكتل , حزب المبادرة, حزب المجد , عدالة وسلام,أوفياء,الاتحاد الوطني الحر,التيار الديمقراطي ,الثبات,المؤتمر من أجل الجمهورية,حركة الشعب,حزب البناء الوطني,حزب العمل التونسي ,صوت شعب تونس,observers
27,3,1,22,2,548,419,608,0,189,189,419,608,0,0,413,2,4,419,0,True,18.30,22.00,1,2,3,1,0,0,25,0,0,1,3,2,1,261,4,30,2,5,1,1,0,9,2,15,6,4,20,11,1,0,2, حركة النهضة :1  
27,3,1,22,1,548,390,600,1,210,211,389,600,0,1,354,18,17,389,0,True,1830,2200,1,1,4,2,8,6,12,0,0,3,1,0,1,202,0,41,2,9,4,3,0,7,2,17,6,3,9,3,3,2,2, الحزب الجمهوري :1   الجبهة الشعبية :1  الإتحاد الوطني الحر:1   حزب المبادرة:1   الحركة الدستورية:1   حزب التكتل :1   حركة النهضة :1   حركة نداء تونس :1  
27,4,15,83,1,242,139,300,0,161,161,139,300,0,0,133,4,2,139,0,False,"18,03","19,20",0,0,0,0,1,0,0,2,0,0,0,0,0,94,0,6,1,0,11,0,1,11,0,2,1,0,1,2,0,0,0, حركة نداء تونس :   حركة النهضة :   حزب التكتل :  
27,4,15,82,1,50,26,100,0,74,74,26,100,0,0,24,2,0,26,0,True,"18,33","19,03",0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, حركة النهضة :  
27,4,15,81,1,103,97,200,0,103,103,97,200,0,0,93,4,0,97,0,False,18.15,19.20,0,0,0,0,0,2,0,1,1,1,0,0,0,78,0,2,0,0,0,1,0,2,0,0,0,0,2,0,1,1,1, حزب التكتل :1   حركة النهضة :1  
27,4,14,80,1,268,184,300,0,116,116,184,300,0,0,172,6,6,184,0,True,1806,1930,0,0,0,1,5,1,0,1,0,1,1,2,1,128,2,15,1,1,0,0,1,2,2,0,1,1,3,0,1,1,0,الإتحاد الوطني الحر:1   عدالة وسلام:1   حركة النهضة :1   حركة نداء تونس :1  
27,4,14,79,1,391,256,500,1,243,244,256,500,0,0,242,4,10,256,0,True,18.18,20.10,0,1,0,0,0,2,2,1,1,1,1,1,0,105,11,56,3,1,0,2,0,25,1,7,1,10,2,2,0,2,4, حركة نداء تونس :2   حركة النهضة :2   الحزب الجمهوري :1  الإتحاد الوطني الحر:2   عدالة وسلام:1  
27,4,14,78,1,236,141,300,0,159,159,141,300,0,0,133,7,1,141,0,False,18:23,19:25,1,0,1,0,0,1,3,0,0,3,3,1,1,95,1,9,2,1,0,1,0,1,0,6,0,0,1,0,0,1,0,الإتحاد الوطني الحر:1   حركة النهضة :2   حركة نداء تونس :1  
27,4,13,77,1,64,33,100,0,67,67,33,100,0,0,31,1,1,33,0,False,18:10,18:40,1,1,0,1,0,0,15,0,2,0,0,0,1,5,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0, الحزب الجمهوري :1   حركة النهضة :1  
27,4,13,76,1,179,94,200,3,103,106,94,200,0,0,86,5,3,94,0,False,18:00,19:00,0,0,1,1,0,1,5,0,0,0,2,0,0,59,0,3,0,0,4,2,1,1,0,2,0,0,2,0,0,2,0, حركة نداء تونس :2   الحزب الجمهوري :1   حركة النهضة :1  
