circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,الاتحاد الوطني الحر,الاحرار,الارض,الازدهار,الامل في الحياة,البديل للتشغيل والعدالة والاجتماعية,التحالف الديمقراطي,التحدي,التشغيل والتنمية,التشغيل والكرامة,التكتل من اجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الربيع العربي,السلام,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,النور للديمقراطية والتنمية,الوعد الصادق,الوفاء لمشروع الشهيد,تيار المحبة,حركة الجمهورية,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الامان,شباب بلادي,صوت الفلاحين,صوت المستقبل,صوت شعب تونس,ما يرده الشعب,من اجل تحقيق سلطة الشعب,observers
8,8,3,130,1,211,117,300,0,183,183,117,300,0,0,113,4,0,117,0,False,1800,2000,1,0,3,3,0,0,0,0,1,3,0,1,0,1,3,0,0,24,1,1,0,0,0,0,0,0,0,3,0,7,47,5,1,2,1,0,2,1,2,حركة النهضة:1  
8,8,3,129,1,432,269,500,1,230,231,269,500,0,0,243,19,7,269,0,False,1832,2024,0,2,18,0,2,1,1,1,3,3,1,5,0,1,19,1,2,28,0,3,3,1,2,1,13,0,2,0,3,42,70,6,1,1,1,0,3,3,0,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  الحزب الجمهوري:1  الحركة الدستورية:1  
8,8,3,128,1,274,137,299,0,162,162,137,299,0,0,129,5,3,137,0,False,18.00,,2,0,11,1,0,0,3,2,0,2,0,10,0,1,8,1,0,17,4,0,2,1,1,0,1,1,2,0,3,27,22,0,0,1,0,0,3,2,1,الحزب الجمهوري:1  حركة النهضة:2  
8,8,2,127,3,564,373,600,0,227,227,373,600,0,0,370,2,1,373,0,True,1845,2100,1,1,43,0,0,1,1,2,4,1,0,1,1,7,43,0,1,45,0,0,3,5,1,3,7,0,3,0,1,65,114,3,2,3,0,0,3,6,0,الحزب الجمهوري:1  حركة نداء تونس:1  حركة النهضة:1  التكتل من اجل العمل والحريات:1  
8,8,2,127,2,566,475,600,3,123,126,474,600,0,1,466,8,0,474,0,False,1830,2135,0,1,17,0,0,0,1,1,4,3,2,0,2,5,55,1,0,62,2,1,2,1,2,0,7,0,2,1,1,98,180,6,1,4,0,2,2,0,0,حركة نداء تونس:1  حركة النهضة:1  
8,8,2,127,1,566,471,600,0,129,129,471,600,0,0,434,17,20,471,0,True,"18,10","21,30",1,2,10,0,2,1,3,3,2,8,2,5,2,1,45,1,1,43,3,2,2,1,4,2,3,0,2,1,3,81,180,6,1,4,3,0,2,2,0,اللقاء الدستوري:  الحزب الجمهوري:  حركة النهضة:  حركة نداء تونس:  الوعد الصادق:  
8,8,2,126,1,434,355,500,8,137,145,355,500,0,0,313,36,6,355,0,False,18.30,20.30,0,2,11,1,1,0,0,2,3,2,3,4,2,3,35,1,1,43,0,4,1,3,3,0,5,1,3,2,6,35,115,8,0,2,2,3,3,1,2,اللقاء الدستوري:1  الجبهة الشعبية:1  الحزب الجمهوري:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  الوعد الصادق:1  حركة النهضة:1  التكتل من اجل العمل والحريات:1  
8,8,1,124,4,490,295,600,0,304,304,295,599,1,0,291,3,1,295,0,False,18.00,21.30,0,3,25,0,1,1,1,0,2,1,2,2,14,1,38,0,0,54,0,0,0,2,0,1,27,0,0,0,1,27,79,1,5,2,0,0,1,0,0,الحزب الجمهوري:1  حركة نداء تونس:2  حركة النهضة:1  التكتل من اجل العمل والحريات:1  
8,8,1,124,2,492,399,600,2,199,201,399,600,0,0,372,25,2,399,0,False,18.40,21.10,0,1,23,0,0,1,2,2,1,2,1,2,6,1,33,0,0,57,2,3,3,2,1,0,29,1,1,1,3,48,133,5,3,0,1,0,2,2,0,الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  التكتل من اجل العمل والحريات:1  الارض:1  
8,8,1,124,1,492,398,600,2,201,203,398,601,1,0,351,38,9,398,0,True,18.00,22.30,0,0,17,3,2,1,1,9,5,7,6,8,6,6,20,2,1,36,2,10,1,1,3,1,29,0,4,3,3,26,112,6,6,5,2,1,2,1,3,
8,8,1,123,3,554,364,600,0,236,0,364,364,236,0,362,0,2,364,0,False,1830,2107,1,6,41,0,0,0,0,3,4,3,1,0,6,6,42,2,0,44,0,0,1,2,1,1,22,0,4,0,3,59,103,2,1,0,0,1,1,2,0,حركة النهضة:1  حركة نداء تونس:2  الحزب الجمهوري:1  حركة الشعب:1  التكتل من اجل العمل والحريات:1  
8,8,1,123,2,554,436,600,1,163,164,436,600,0,0,429,2,5,436,0,False,18:40,21:50,1,4,27,1,1,1,1,1,6,3,1,3,4,5,55,1,1,46,1,0,0,2,0,0,34,0,4,4,6,75,129,4,0,2,0,0,5,0,1,حركة نداء تونس:1  الجبهة الشعبية:1  الحزب الجمهوري:1  حركة النهضة:1  التكتل من اجل العمل والحريات:1  
8,8,1,123,1,554,453,600,0,147,0,453,453,147,0,415,18,20,453,0,False,18h30,,0,2,23,2,1,1,3,1,3,5,3,4,2,2,44,1,2,26,0,3,0,1,2,1,10,0,4,2,4,68,179,2,2,1,1,2,5,3,0,الوعد الصادق:1  حركة النهضة:1  التكتل من اجل العمل والحريات:1  حركة نداء تونس:1  حركة الشعب:1  
8,8,1,122,2,356,231,400,1,168,169,231,400,0,0,229,1,1,231,0,False,1900,2100,0,4,13,0,0,1,0,1,3,0,0,0,2,4,33,0,0,24,0,2,0,1,2,1,15,0,1,2,6,36,75,1,1,0,0,0,1,1,0,حركة النهضة:1  حركة نداء تونس:1  آفاق تونس:1  الوعد الصادق:1  التكتل من اجل العمل والحريات:1  الجبهة الشعبية:1  
