circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التوازن,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح واالبناء,الحزب الجمهوري ,الحزب الجمهوري المغاربي,الحزب الليبرالي التونسي,الريادة بالعلم والعمل,الشباب الحر,الشعب يريد,القائمة المستقلة بأريانة القدوة,الكادحون,المبادرة,النداء الجمهوري,باب الامل,بيئتنا,تونس العزيزة,تونس في العين,تيار المحبة,حركة التونسي,حركة الديمقراطيين الإشتراكيين,حركة الربيع العربي,حركة الشعب,حركة النهضة,حركة الوحدة الشعبية,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الاصلاح والتنمية,حزب الانفتاح والوفاء,حزب الانقاذ,حزب البناء الوطني,حزب الصحوة,حزب العمل التونسي,حزب الغد,حزب المؤتمر الشعبي,حزب المؤتمر من اجل الجمهورية,حزب المجد,حزب الوسط الاجتماعي,حزب تونس للجميع,صوت الفنانين,صوت المربي,صوت شعب تونس,نحو بر الأمان,نداء قرطاج,ورد اريانة,observers
4,4,3,57,2,535,406,600,3,191,194,406,600,0,0,386,18,2,406,0,False,1900,2100,7,0,0,22,6,2,2,0,7,8,1,0,3,10,2,1,2,0,1,0,0,0,4,0,3,1,0,8,0,0,1,2,141,0,127,3,2,1,1,0,0,0,0,0,2,4,2,0,7,1,0,1,0,0,1,حركة نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
4,4,3,57,1,535,415,600,0,185,185,415,600,0,0,387,15,13,415,0,False,1830,2054,7,0,1,19,5,2,1,0,4,10,1,1,1,7,2,2,2,0,3,0,1,4,2,0,2,0,0,1,2,0,1,8,118,0,146,1,1,0,2,0,1,1,0,1,0,3,1,0,10,0,3,0,6,1,3,حركة نداء تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  تيار المحبة:1  
4,4,3,56,6,597,369,700,2,329,331,369,700,0,0,364,1,4,369,0,True,18H10,21H,10,0,0,24,0,1,3,1,14,4,1,0,0,13,0,0,0,0,5,0,0,3,2,0,0,1,0,0,0,1,0,6,171,1,84,4,0,0,0,1,0,0,0,0,0,8,0,1,1,0,0,0,2,0,2,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  الحزب الجمهوري :1  
4,4,3,56,5,600,374,700,0,326,326,374,700,0,0,346,24,4,374,0,False,18H40,21H20,8,0,0,25,1,4,5,0,8,7,0,2,1,15,0,0,0,1,2,0,1,2,1,0,0,0,0,1,0,0,0,5,133,1,99,2,0,1,0,0,0,1,1,0,1,7,3,0,0,0,3,0,2,0,3,حركة النهضة:1  حركة نداء تونس:1  الحزب الجمهوري :1  
4,4,3,56,4,600,414,700,0,286,286,414,700,0,0,413,1,0,414,0,True,18.00,20.55,8,0,0,14,0,1,1,0,9,11,1,0,0,20,1,1,0,0,3,0,1,4,2,0,0,0,0,2,1,0,0,1,222,0,94,1,0,1,0,0,0,0,0,0,0,6,1,0,1,0,3,0,2,1,0,حركة نداء تونس:1  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  حركة النهضة:1  الحزب الجمهوري :1  
4,4,3,56,3,600,441,700,1,258,259,441,700,0,0,430,8,3,441,0,True,1830,2200,3,0,1,18,2,2,2,3,4,18,0,0,1,16,3,0,0,0,1,1,0,4,7,0,0,0,0,3,0,0,1,4,202,0,112,4,1,1,1,0,0,1,1,0,1,2,0,0,4,0,2,0,3,1,0,حركة النهضة:2  الحزب الجمهوري :1  الشباب الحر:1  حركة الشعب:1  تيار المحبة:1  
4,4,3,56,2,600,451,700,2,247,249,451,700,0,0,438,6,7,451,0,False,18h31,22h50,2,0,0,24,5,0,1,0,7,6,0,5,1,17,1,0,0,1,2,0,4,3,1,0,1,0,0,2,2,2,3,8,188,1,119,4,0,1,3,0,0,0,1,1,0,2,4,0,7,0,1,1,4,3,0,حركة النهضة:1  حركة نداء تونس:1  
4,4,3,56,1,600,472,700,0,228,228,472,700,0,0,421,30,21,472,0,False,19h,22h,3,1,0,18,0,2,3,1,6,5,2,0,2,9,2,0,0,0,6,2,1,4,5,0,1,0,1,0,0,1,0,11,186,0,122,0,0,1,4,0,3,2,1,1,1,1,0,0,6,1,1,1,1,1,2,الشباب الحر:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  الحزب الجمهوري :1  حركة النهضة:1  
4,4,3,55,2,332,191,400,1,208,209,191,400,0,0,187,2,2,191,0,True,"18,15",,2,0,0,15,1,0,1,0,1,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,3,60,0,78,0,2,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,حركة النهضة:  الاتحاد الوطني الحر:  حركة نداء تونس:  
4,4,3,55,1,332,250,400,0,150,150,250,400,0,0,237,8,5,250,0,True,18H15,20H10,7,0,1,10,1,0,2,0,3,1,0,1,3,2,0,0,0,0,0,0,0,3,2,0,1,1,0,5,0,1,0,0,66,0,109,1,0,0,2,0,0,1,1,1,1,2,0,0,4,0,1,0,2,0,2,حركة النهضة:1  حركة الشعب:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
4,4,2,54,8,561,379,600,0,221,221,379,600,0,0,377,1,1,379,0,False,"18,35","22,09",27,0,0,23,4,2,1,2,25,12,0,0,0,12,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,2,67,0,168,4,2,0,1,0,0,0,1,0,0,16,1,1,0,0,0,0,0,0,0,حركة النهضة:  حركة نداء تونس:  
4,4,2,54,7,566,403,600,0,197,197,403,600,0,0,397,6,0,403,0,True,19h19,21h26,22,0,0,24,5,4,3,0,14,13,0,1,0,9,0,0,0,1,0,1,0,4,3,0,0,0,0,0,0,0,0,3,92,0,179,3,1,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,5,0,0,حركة نداء تونس:1  حزب تونس للجميع:1  حركة النهضة:1  
4,4,2,54,6,566,427,600,0,173,173,427,600,0,0,418,5,4,427,0,True,"19,10","22,30",27,0,0,28,5,0,2,0,13,22,0,3,1,12,0,0,0,0,0,0,1,4,2,0,1,1,1,0,0,0,0,2,75,0,208,2,0,0,0,0,0,0,0,0,1,4,1,0,1,1,0,0,0,0,0,حركة نداء تونس:  آفاق تونس:  الجبهة الشعبية:  حركة النهضة:  
4,4,2,54,5,566,394,600,4,202,206,394,600,0,0,390,3,1,394,0,True,"19,50","22,30",24,1,0,20,7,3,3,0,17,14,3,4,1,9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,73,0,188,3,1,0,0,0,0,0,1,0,0,9,0,0,1,1,0,0,2,0,1,حركة النهضة:  حركة نداء تونس:  
4,4,2,54,4,566,425,600,2,173,175,425,600,0,0,424,0,1,425,0,False,1855,2138,27,0,0,6,9,7,1,0,15,11,0,2,0,12,0,0,0,2,0,0,0,4,0,0,1,0,0,4,0,1,0,3,129,0,160,5,2,1,1,0,0,0,1,0,0,16,0,0,0,0,2,1,1,0,0,التيار الديمقراطي:  حركة نداء تونس:  حركة النهضة:  
4,4,2,54,3,566,442,603,1,160,161,442,603,0,0,425,11,6,442,0,False,"18,45","22,40",17,0,1,15,7,4,3,0,12,17,0,3,1,5,0,0,0,1,1,0,1,2,2,0,1,1,0,1,0,0,1,3,110,0,198,3,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,1,2,حركة نداء تونس:  حركة النهضة:  
4,4,2,54,2,566,461,600,3,137,140,460,600,0,1,452,2,6,460,0,False,19,"22,45",18,1,0,28,10,3,2,0,13,14,0,1,1,6,1,0,0,0,0,0,2,3,2,0,2,1,1,3,2,0,0,2,99,0,212,2,1,0,0,0,0,0,1,0,2,4,0,0,7,1,0,1,2,3,1,حركة نداء تونس:  حركة النهضة:  الحركة الدستورية:  الاتحاد من اجل تونس:  حركة الشعب:  
4,4,2,53,7,595,411,700,2,287,289,411,700,0,0,410,1,0,411,0,False,19H40,21H56,23,0,1,23,7,5,1,0,18,7,1,2,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,81,0,208,4,3,0,0,0,1,0,0,0,1,13,0,0,1,0,0,0,0,0,0,الاتحاد الوطني الحر:1  حركة النهضة:1  
4,4,2,53,6,600,435,700,0,265,265,435,700,0,0,432,2,1,435,0,False,19h30,22h40,26,0,0,20,7,2,4,0,17,17,1,1,0,10,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,6,88,0,207,3,2,0,0,0,0,0,1,0,0,9,0,0,5,0,0,0,2,0,0,حركة النهضة:1  الحركة الدستورية:1  :  
