circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أمل تونس,اتحاد الشباب الديمقراطي التونسي,الاتحاد الوطني الحر,الاتحاد من أجل تونس,التحالف الديمقراطي,التحدي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الدخلة للعمل والعدالة والتنمية,الريادة,الشعب يريد,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,تميز,تونس العزيزة,تيار المحبة,جبهة 17 ديسمبر للتنمية,حركة البديل,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي ,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب المجد,حزب حركة الجمهورية,صوت شعب تونس,قائمة سامي بالحاج,observers
11,3,2,46,2,506,359,600,5,236,241,359,600,0,0,342,10,7,359,0,False,1822,2046,5,0,0,43,0,1,0,5,2,14,1,0,0,5,0,0,0,0,0,4,3,0,2,1,0,1,1,3,0,83,159,3,0,0,6,0,حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  
11,3,2,46,1,507,428,600,1,171,172,428,600,0,0,381,44,3,428,0,False,1825,2144,4,3,0,20,0,3,2,5,1,9,2,0,3,5,1,0,2,0,5,1,2,1,4,2,3,9,6,0,4,65,204,5,0,2,7,3,الجبهة الشعبية:1  حركة نداء تونس:1  حركة النهضة:1  
11,3,1,45,2,483,353,596,11,232,243,353,596,0,0,347,3,3,353,0,False,1915,2151,11,1,0,32,1,5,1,1,13,9,0,1,0,8,0,0,1,0,0,1,4,0,1,0,1,0,1,1,0,89,161,1,1,1,0,1,اتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  
11,3,1,45,1,483,417,600,18,165,183,417,600,0,0,397,17,3,417,0,False,19.20,21.17,7,0,1,20,1,1,0,3,6,3,0,0,1,2,1,2,1,0,1,3,5,0,2,0,1,4,0,0,6,103,216,4,1,1,1,0,اتحاد الوطني الحر:1  حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  
11,3,1,44,7,575,462,700,6,232,238,462,700,0,0,456,6,0,462,0,False,1830,2258,41,0,0,30,0,12,2,3,29,25,2,0,2,8,1,0,0,0,1,6,2,0,1,0,0,0,0,3,1,89,192,3,2,1,0,0,حركة النهضة:1  الحزب الجمهوري:1  الجبهة الشعبية:1  حركة نداء تونس:1  
11,3,1,44,6,577,443,699,0,256,256,443,699,0,0,439,2,2,443,0,False,1853,2125,38,0,0,16,0,6,1,2,32,17,0,2,1,13,0,0,0,0,0,4,2,0,0,1,0,1,0,0,0,107,188,7,0,0,1,0,حركة نداء تونس:1  المبادرة:1  حركة النهضة:1  الجبهة الشعبية:1  
11,3,1,44,5,577,493,691,2,196,198,493,691,0,0,486,5,2,493,0,False,19.00,22.00,32,1,0,25,3,5,0,1,20,14,1,0,0,14,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,138,221,2,0,1,1,0,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  التكتل من أجل العمل والحريات:1  
11,3,1,44,4,577,527,702,19,156,175,527,702,0,0,519,7,1,527,0,True,19.00,22.30,20,1,0,23,1,6,1,2,28,20,0,1,0,9,1,0,0,0,1,3,3,2,1,5,0,1,0,0,1,182,196,3,3,1,3,1,الحزب الاشتراكي:1  حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  
11,3,1,44,3,577,491,708,2,215,217,491,708,0,0,483,5,3,491,0,False,1830,2145,21,0,0,15,4,8,1,1,16,25,1,1,1,9,0,1,0,1,0,2,1,0,2,1,3,0,0,0,0,158,196,3,7,0,4,1,حركة النهضة:  الجبهة الشعبية:  حركة نداء تونس:  
11,3,1,44,2,577,496,700,2,202,204,496,700,0,0,472,11,13,496,0,True,1855,2230,22,0,0,13,2,8,2,2,12,11,3,0,2,5,0,0,2,1,0,4,1,0,3,0,0,2,0,2,2,134,225,6,3,2,1,2,الجبهة الشعبية:1  حركة نداء تونس:1  حركة النهضة:1  اتحاد الوطني الحر:1  
