circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,حركة نداء تونس,آفاق تونس,أمانة وفاء,إرادة,إن شاء الله خير,االجبهة الوطنية التونسية,اتحاد الشباب الديمقراطي التونسي,الأمانة,الأمل,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الانجاز والمقاومة ,الانفتاح والوفاء,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحركة الديمقراطية الاشتراكية,الحزب الجمهوري,الحزب الجمهوري المغاربي,الحقيقة,الخضر,الخضراء,الربيع العربي لتحقيق السيادة الاقتصادية ,الشباب المستقل,الشروق,الشعب يريد,الصوت الحر,العدالة الجمهورية,العريضة الشعبية,العقد الثوري,القائمة المستقلة أبناء الشعب,القائمة المستقلة العدالة,القائمة المستقلة النخلة,القائمة المستقلة للامركزية والتنمية,اللقاء الدستوري,المبادرة,المستقلة الاقلاع,المنارة,الوئام,الوفاء بالعهد,الياسمين,تونس الخضراء تنمية مستدامة,تيار المحبة,جركة الديمقراطيين الاجتماعيين,حركة الشعب,حركة النهضة,حركة وفاء,حزب الأمان,حزب الانتماء الديمقراطي,حزب البناء الوطني,حزب التكتل ,حزب التكتل الشعبي من أجل تونس,حزب الغد,حزب المؤتمر من أجل الجمهورية,حزب صوت شعب تونس,رد الاعتبار,شباب قفصة,صوت الحق,قائمة الأمل,قفصة دارنا الكل,قفصة عراقة وتجديد,observers
17,7,4,105,3,532,276,600,1,323,324,276,600,0,0,272,3,1,276,0,False,18.45,20.50,45,1,26,0,4,1,0,0,0,18,1,5,1,0,0,12,0,0,3,0,0,0,5,0,19,0,0,0,0,0,0,0,8,0,0,18,5,1,1,0,0,0,1,1,0,3,67,1,0,0,0,0,0,0,2,0,23,0,0,0,0,0,الخضراء:1  حركة النهضة:1  الحزب الجمهوري:1   نداء تونس:1  اللقاء الدستوري:1  حركة الشعب:1  الجبهة الشعبية:1  تيار المحبة:1  
17,7,4,105,2,534,360,600,1,239,240,360,600,0,0,348,5,7,360,0,False,18.30,22.00,48,1,23,0,2,1,0,0,2,11,3,8,1,1,1,8,0,0,3,0,0,1,10,0,20,0,0,2,1,1,0,0,4,0,1,37,5,5,3,0,0,1,0,2,0,12,86,1,0,0,0,0,2,0,2,0,37,0,1,1,0,0,حزب التكتل :1  اللقاء الدستوري:1  حركة الشعب:1  المستقلة الاقلاع:1   نداء تونس:1  حركة النهضة:1  
17,7,4,105,1,534,400,599,1,198,199,400,599,0,0,372,18,10,400,0,False,19.00,,59,3,13,1,6,1,1,0,2,7,5,6,0,0,1,12,0,1,4,0,0,1,22,0,9,1,0,1,4,3,2,1,7,0,9,38,5,3,3,0,1,1,1,5,0,8,69,2,1,1,3,1,1,4,0,1,35,0,1,2,4,0,حركة الشعب:1  المبادرة:1  المستقلة الاقلاع:1   نداء تونس:1  حركة النهضة:1  
17,7,3,104,1,83,46,100,0,54,54,46,100,0,0,44,2,0,46,0,False,18.25,18.56,16,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0, نداء تونس:1  حركة النهضة:1  المبادرة:1  
17,7,3,103,2,304,172,400,3,225,228,172,400,0,0,169,1,2,172,0,True,18.51,20.50,20,3,29,1,2,2,0,0,0,9,4,0,0,1,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,3,56,1,0,0,1,0,0,0,1,0,9,0,0,0,0,0, نداء تونس:1  حركة النهضة:1  المبادرة:1  الاتحاد الوطني الحر:1  
17,7,3,103,1,305,229,400,0,171,171,229,400,0,0,221,6,2,229,0,False,18:30,20:00,33,2,32,2,5,1,1,0,0,6,4,2,0,2,1,12,0,1,0,1,0,0,10,0,0,0,0,1,1,0,1,1,0,0,1,2,4,0,1,1,0,0,0,1,0,4,67,0,1,1,1,0,1,2,1,0,10,0,2,1,1,0, نداء تونس:2  حركة النهضة:  المبادرة:  رد الاعتبار:  
17,7,3,102,3,423,227,502,0,275,275,227,502,0,0,221,3,3,227,0,False,18:00,20:16,50,0,12,0,30,1,0,0,0,12,1,0,0,1,1,5,0,0,0,0,0,1,2,0,16,0,0,0,0,0,0,0,5,7,0,6,6,0,0,0,0,0,1,0,0,1,41,1,0,0,0,5,0,0,2,0,14,0,0,0,0,0,حركة النهضة:2  حزب التكتل :  الاتحاد الوطني الحر:  :  
17,7,3,102,2,423,297,500,1,202,203,297,500,0,0,287,9,1,297,0,True,18:26,20:20,46,0,21,1,37,0,0,0,0,4,1,1,2,0,4,7,0,0,0,0,0,0,2,0,15,0,0,1,1,0,0,1,5,11,1,4,6,1,5,0,0,0,1,4,0,2,73,1,1,0,0,7,0,0,0,0,20,0,0,1,0,0,رد الاعتبار:  حركة النهضة:   نداء تونس:  اللقاء الدستوري:  
17,7,3,102,1,423,328,500,1,171,172,328,500,0,0,308,13,7,328,0,False,18:00,20:38,58,2,19,0,37,0,1,0,5,10,3,2,1,0,0,9,1,1,1,0,0,0,7,1,7,3,0,0,2,0,2,3,2,5,1,6,10,1,9,0,1,2,1,0,0,2,63,3,0,1,0,3,1,1,0,1,11,1,1,4,2,1, نداء تونس:  حركة النهضة:  الاتحاد الوطني الحر:  إن شاء الله خير:  
17,7,3,101,1,92,63,100,0,37,37,63,100,0,0,59,2,2,63,0,False,18:20,18:55,12,0,9,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,16,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0, نداء تونس:2  حركة النهضة:2  المبادرة:  :  
