circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, إتحاد الشباب الديمقراطي التونسي,آفاق تونس,إتحاد القوى الوطنية,إرادة الشعب,الأديب للتنمية والعدالة,الأمان,الائتلاف المستقل لحركة نور تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الرافدة,الشعب يريد,الصباح الجديد لتونس,العريضة الشعبية,القائمة البورقيبية,المؤتمر من أجل الجمهورية,المبادرة,باب الأمل,تحيا تونس,تيار المحبة,جوهرة,حركالتونسي,حركة الاقلاع إلى المستقبل,حركة الديمقراطيين الاشتراكيين ,حركة الربيع العربي,حركة الشعب,حركة النهضة,حزب التكتل,حزب التكتل الشعبي من أجل تونس,حزب العدل والتنمية ,حزب العمل التونسي,حزب القيم الوطنية,حزب المستقبل,حضر موت,سيادة الشعب,صوت شعب تونس,حركة نداء تونس,observers
20,9,1,97,6,518,383,600,0,217,217,383,600,0,0,379,3,1,383,0,True,1845,2010,0,29,0,0,0,0,0,1,1,4,3,7,1,3,1,1,2,0,0,2,0,1,1,1,12,0,0,0,0,0,0,0,0,1,38,4,0,0,0,0,0,1,1,1,263,حركة النهضة:1  نداء تونس:1  
20,9,1,97,5,518,379,599,1,219,220,379,599,0,0,375,3,1,379,0,True,1830,2100,1,19,0,0,0,0,1,5,1,3,6,18,2,2,0,0,5,0,1,0,1,1,1,3,8,0,0,0,0,0,1,1,0,0,55,0,0,0,0,0,0,5,0,0,235,نداء تونس:1  حركة النهضة:1  
20,9,1,97,4,518,436,600,4,160,164,436,600,0,0,430,5,1,436,0,True,1910,2310,0,18,1,1,0,1,0,6,0,3,2,13,0,0,0,0,6,0,0,0,0,0,1,3,16,0,2,2,2,1,1,0,0,0,70,2,0,0,0,0,0,0,0,0,279,جوهرة:1  نداء تونس:1  حركة النهضة:1  
20,9,1,97,3,518,458,600,2,142,144,456,600,0,2,444,10,2,456,0,True,1850,2240,0,18,1,0,0,0,0,1,2,5,7,8,3,0,0,1,2,0,0,0,0,0,1,4,10,0,0,0,0,0,2,0,0,1,100,2,0,0,0,0,0,0,0,0,276,حركة النهضة:1  نداء تونس:1  
20,9,1,97,2,518,458,589,0,131,131,458,589,0,0,445,7,6,458,0,True,18h35,,0,13,0,0,0,2,0,3,2,8,3,7,1,1,0,0,0,1,0,0,0,0,4,0,10,1,2,0,1,0,2,1,0,1,67,6,1,0,1,0,0,1,3,0,300,نداء تونس:01  آفاق تونس:01  حركة النهضة:01  
20,9,1,97,1,518,442,600,1,157,158,442,600,0,0,434,5,3,442,0,True,18:40,21:10,0,17,0,0,0,1,1,5,0,6,5,9,2,1,0,1,3,2,1,0,0,0,3,2,13,0,0,3,1,0,1,3,0,0,74,5,2,0,0,0,0,2,0,1,270,حركة النهضة:1  نداء تونس:1  
20,9,1,96,5,511,334,600,0,265,265,334,600,0,0,332,0,2,334,0,True,1900,2115,0,13,0,0,0,0,0,12,2,4,4,7,0,0,0,0,1,0,0,0,0,0,0,1,10,1,0,6,0,0,1,0,0,0,52,1,0,0,0,0,0,1,0,0,216,حركة النهضة:1  نداء تونس:1  آفاق تونس:1  
20,9,1,96,4,509,347,600,6,253,253,347,600,0,0,341,2,4,347,0,True,1924,2231,0,15,0,0,1,0,1,9,2,0,3,7,1,1,0,0,4,0,0,0,1,2,0,1,12,0,0,2,0,0,0,0,0,0,79,3,0,0,0,0,0,0,0,1,196,نداء تونس:2  حركة النهضة:1  
20,9,1,96,3,509,409,600,1,190,191,409,600,0,0,394,13,1,409,0,True,1855,2325,0,7,0,1,0,0,1,3,3,1,3,12,0,3,0,0,4,0,3,1,1,0,1,1,11,0,0,0,0,0,2,1,1,1,93,2,0,0,1,0,0,0,0,3,234,حركة النهضة:2  نداء تونس:1  
20,9,1,96,2,509,420,600,2,178,180,420,600,0,0,396,20,4,420,0,True,2015,2345,1,13,0,0,0,1,2,3,3,4,3,5,1,0,0,1,4,1,0,0,1,0,2,5,14,0,2,5,0,0,0,0,0,0,77,3,0,0,1,1,1,0,2,0,240,حركة النهضة:1  نداء تونس:1  
