circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أمان,اتحاد القوى الشابية,الأغلبية الصامتة,الأمة,الائتلاف الديمقراطي,الاتحاد الوطني الحر,الاتحاد من أجل تونس,البيئة تجمعنا,التحالف الديمقراطي ,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسي,الحداثة والأصالة,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الخضر,الربيع العربي لتحقيق السيادة الاقتصادية,السيادة,الشباب الموحد لغد أفضل,الصمود,القوى المستقلة ببن عروس,الكرامة والمساواة,المؤتمر من أجل الجمهورية,المبادرة,الوعد الصادق,الوفاء لمشروع الشهيد,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب البناء الوطني,حزب الديمقراطيين الاشتراكيين,حزب العدالة والتنمية,حزب العمل التونسي,حزب المؤتمر الشعبي,حزب المجد,صوت شعب تونس,فجر البناء,قائمة أمل تونس,قائمة المهنيين ,نداء قرطاج,نور المستقبل,observers
3,9,1,85,3,487,383,600,1,216,217,383,600,0,0,381,0,2,383,0,False,18.25,20.25,1,32,0,0,0,0,0,21,6,0,3,2,11,20,0,0,0,0,17,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,76,179,2,0,0,0,0,0,0,1,1,0,0,0,0,1,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
3,9,1,85,2,488,412,600,2,186,188,412,600,0,0,412,0,0,412,0,False,18.30,21.00,0,21,1,0,0,0,1,17,10,0,5,6,16,20,0,0,0,0,20,1,0,0,0,1,3,0,5,1,0,0,2,0,0,2,1,106,168,0,0,0,0,1,0,1,1,0,0,0,1,1,0,حركة النهضة:1  الجبهة الشعبية:1  حركة نداء تونس:1  الحركة الدستورية:1  
3,9,1,84,6,553,387,600,0,213,213,387,600,0,0,382,3,2,387,0,False,18.15,20.33,0,27,0,0,0,0,0,32,0,0,3,2,15,17,0,0,0,0,16,1,1,3,1,0,1,0,10,44,0,0,0,0,0,1,0,70,176,2,0,0,0,0,0,0,0,0,0,0,0,3,0,الجبهة الشعبية:1  حركة نداء تونس:2  حركة النهضة:1  
3,9,1,84,5,555,428,600,1,171,172,428,600,0,0,427,0,1,428,0,False,1940,2320,0,17,0,0,0,0,0,27,3,0,3,5,22,14,0,0,0,2,12,0,2,1,0,0,3,0,9,3,0,0,0,0,0,1,1,113,183,2,0,0,0,0,0,0,2,0,0,0,0,2,0,المبادرة:1  حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  
3,9,1,84,4,555,443,600,1,156,157,443,600,0,0,438,1,4,443,0,False,1940,2300,1,16,1,1,0,2,1,20,8,0,4,5,24,12,0,0,1,0,14,1,0,0,0,1,2,1,6,2,0,0,0,0,0,0,0,113,187,2,0,0,2,1,1,0,2,1,1,1,1,3,0,حركة النهضة:1  الجبهة الشعبية:2  حركة نداء تونس:1  
3,9,1,84,3,555,442,600,0,158,158,442,600,0,0,432,4,6,442,0,False,18.45,,1,12,0,0,0,0,3,23,3,0,3,1,13,18,1,0,0,0,9,1,1,1,0,0,0,1,8,6,0,0,0,2,1,1,2,139,168,4,0,0,2,1,0,0,0,0,1,1,1,4,0,الاتحاد الوطني الحر:1  الجبهة الشعبية:1  الحزب الجمهوري:1  حركة النهضة:1  حركة نداء تونس:1  
3,9,1,84,2,555,461,600,2,137,139,461,600,0,0,443,11,7,461,0,False,19.30,21.30,0,8,0,0,0,1,0,16,5,1,1,3,10,11,0,0,0,0,15,1,1,0,0,1,2,0,2,2,1,0,0,2,0,1,0,121,224,1,1,0,1,0,0,0,0,1,3,0,3,3,1,حركة النهضة:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  
3,9,1,84,1,555,446,600,2,152,154,446,600,0,0,417,17,11,445,1,False,19.20,23.20,0,9,1,0,0,1,3,11,7,0,3,2,7,9,0,0,1,0,12,3,3,2,1,1,3,2,3,3,0,2,0,1,0,1,1,103,199,3,2,1,0,2,0,0,0,1,4,2,2,6,0,الحزب الجمهوري:1  الاتحاد الوطني الحر:1  حركة النهضة:1  المبادرة:1  حركة نداء تونس:1  
3,3,5,34,4,516,389,600,1,210,211,389,600,0,0,383,0,6,389,0,False,1917,2215,0,25,0,0,0,0,0,26,2,0,7,2,21,19,0,0,1,0,12,0,0,0,0,0,0,0,7,3,0,0,3,0,0,0,0,96,150,1,0,1,0,0,1,3,0,1,1,0,0,1,0,حركة النهضة:1  حركة نداء تونس:1  
3,3,5,34,3,519,415,600,1,184,185,415,600,0,0,414,0,1,415,0,False,1900,2140,3,26,0,0,1,0,0,19,2,0,7,5,25,15,0,0,2,0,12,0,1,0,0,0,1,1,7,6,0,0,0,1,0,1,0,108,163,6,0,0,0,0,1,0,0,0,0,1,0,0,0,حركة النهضة:1  حركة نداء تونس:1  
3,3,5,34,2,519,452,600,1,147,148,452,600,0,0,448,1,3,452,0,False,1930,2245,0,25,1,2,0,0,0,9,2,0,3,2,25,21,0,0,2,0,14,1,0,0,2,0,1,0,4,5,0,0,2,0,0,1,4,136,171,5,0,1,0,0,0,2,1,0,2,0,1,2,1,حركة نداء تونس:2  الجبهة الشعبية:1  حركة النهضة:1  
3,3,5,34,1,519,430,600,0,170,170,430,600,0,0,412,8,10,430,0,False,1910,2305,3,17,0,0,2,0,2,14,2,0,2,4,14,16,0,0,3,0,14,0,1,0,1,0,1,0,4,4,0,1,2,1,0,3,0,111,169,2,1,0,2,1,1,2,0,1,5,0,1,4,1,حركة نداء تونس:2  حركة النهضة:1  الجبهة الشعبية:1  
