circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أحرار باجة,إرادة الحياة,اتحاد القوى الشبابية,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارادة,الانتفتاح و الوفاء,البناء الوطني,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الجبهة الوطنية للإنقاذ,الحركة الدستورية,الحزب الجمهوري,الشعب يريد ,الطريق المستقيم,الطموح و الاصلاح,الفلاح,القوة العمّالية,المؤتمر من أجل الجمهورية,المبادرة,المستقبل,المستقلون الاحرار,النور الديمقراطي و التنمية,تونس العزيزة,تونس للجميع,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الخضر للتقدم,حزب العدالة و التنمية,حزب الغد ,حزب اللقاء الدستوري,حزب المجد,حزب المحافظون التونسيّون الجدد,قائمة التحدّي,قائمة الحزب الاسلامي التونسي,observers
10,9,9,140,1,321,232,400,2,168,170,230,400,0,2,165,43,22,230,0,False,1830,2049,0,0,1,0,0,6,1,0,1,0,0,1,6,2,0,0,1,2,1,0,2,0,0,1,2,0,3,2,2,1,1,1,77,26,17,3,0,1,0,1,1,0,0,2,حركة النهضة:1  حركة نداء تونس:1  حركة الشعب:1  
10,9,9,139,2,488,215,600,2,383,385,215,600,0,0,204,10,1,215,0,False,1830,2122,1,0,0,1,0,8,1,0,0,0,1,0,2,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,3,0,0,111,15,44,1,1,5,0,0,0,0,2,0,حركة النهضة:1  
10,9,9,139,1,488,294,600,2,305,307,293,600,0,1,229,11,53,293,0,False,1830,2200,0,1,1,0,1,7,0,1,1,0,1,0,1,1,0,1,0,0,0,0,5,0,0,0,0,1,3,4,0,2,2,1,121,25,39,1,0,4,0,1,2,1,1,1,الاتحاد الوطني الحر:1  تيار المحبة:1  الحركة الدستورية:1  حركة الشعب:1  
10,9,9,138,1,593,270,700,0,430,430,270,700,0,0,226,42,2,270,0,False,18.45,20.10,0,1,1,1,0,10,2,3,3,1,4,1,0,0,0,10,3,0,0,1,0,2,5,2,1,0,1,0,1,0,2,1,62,57,44,1,1,3,1,1,0,0,0,0,الاتحاد الوطني الحر:1  حركة النهضة:1  الحركة الدستورية:2  حركة نداء تونس:2  حركة الشعب:1  
10,9,8,136,2,488,243,600,1,356,357,243,600,0,0,222,6,15,243,0,False,1815,1950,1,3,2,3,0,5,1,1,0,0,0,0,0,1,1,0,2,0,1,0,3,0,3,0,0,1,1,1,2,2,0,2,54,49,73,6,1,0,1,0,1,1,0,0,حركة الشعب:1  حركة النهضة:1  
10,9,8,136,1,489,355,600,0,245,245,355,600,0,0,249,90,16,355,0,False,18.10,,3,3,0,4,1,5,0,2,3,0,1,2,0,5,2,3,2,1,1,1,5,1,2,1,2,3,5,5,4,3,3,1,51,43,55,3,2,5,6,4,2,1,0,3,حركة النهضة:1  الحركة الدستورية:1  حركة نداء تونس:1  حركة الشعب:1  
10,9,7,135,2,400,146,500,2,352,354,146,500,0,0,126,8,12,146,0,False,1800,1932,1,2,0,0,0,1,0,16,0,1,1,0,2,2,0,1,1,0,1,0,1,1,2,0,0,0,0,0,2,0,1,1,36,18,31,1,0,0,0,2,0,0,1,0,حركة الشعب:1  
10,9,7,135,1,400,281,500,1,219,220,280,500,0,1,215,21,44,280,0,False,1815,2000,0,3,0,2,0,3,1,11,1,2,3,1,0,1,0,3,1,0,1,1,8,2,3,0,0,0,3,6,6,2,6,1,56,21,49,4,1,5,1,2,2,2,1,0,حركة النهضة:1  حركة الشعب:1  
10,9,6,134,2,485,155,600,1,444,445,155,600,0,0,139,12,4,155,0,False,1820,2020,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,6,0,0,0,0,1,0,0,1,0,0,1,1,3,0,0,0,67,32,19,1,0,2,1,0,0,0,0,0,حركة نداء تونس:1  
10,9,6,134,1,486,266,600,0,334,334,266,600,0,0,222,29,15,266,0,True,"18,30",22,1,0,1,0,0,7,0,2,1,2,0,1,2,2,0,8,2,0,2,0,4,1,2,1,0,1,1,6,3,2,2,1,82,42,36,1,2,1,0,1,0,1,1,0,حركة النهضة:  حركة الشعب:  
