circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد القوى الشبابية,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التآبف الوحدوي الديمقراطي,التحالف الديمقراطي,التكتل ,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,المؤتمر من أجل الجمهورية,تونس المستقبل,تيار المحبة,جبهة 17 ديسمبر للتنمية,حركة الجمهورية,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة وفاء,حزب الاصلاح والتنمية,حزب الخضر,حزب العمل التونسي,حزب الغد,حزب المبادرة ,شباب الوحدة,صوت شعب تونس,حركة نداء تونس,observers
12,5,4,72,5,519,404,602,5,193,198,404,602,0,0,392,9,3,404,0,False,18:37,22:10,7,0,27,0,1,8,0,22,45,1,2,5,0,3,1,1,0,1,0,1,1,98,0,0,0,0,0,1,0,0,167,نداء تونس :1  الجبهة الشعبية:1  حركة النهضة:1  
12,5,4,72,4,523,418,601,1,182,183,418,601,0,0,413,2,3,418,0,True,18h50,20h41,16,0,24,3,0,14,0,30,33,0,5,6,0,1,0,0,0,0,0,1,0,115,1,0,0,0,0,2,1,0,161,آفاق تونس:1  حركة النهضة:1  نداء تونس :1  الجبهة الشعبية:1  
12,5,4,72,3,523,441,600,3,156,159,441,600,0,0,430,8,3,441,0,True,,20h39,5,0,18,4,1,6,2,7,25,0,8,7,0,6,1,0,1,0,1,1,0,157,3,0,1,1,1,0,1,0,173,الاتحاد الوطني الحر:1  التحالف الديمقراطي:1  حركة النهضة:1  نداء تونس :1  الجبهة الشعبية:1  
12,5,4,72,2,523,444,600,0,156,156,444,600,0,0,422,13,9,444,0,True,18h15,20h25,8,0,19,5,5,11,0,5,32,0,6,2,1,6,0,2,1,1,1,2,0,112,4,2,2,1,1,1,0,0,192,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس :1  الجبهة الشعبية:1  
12,5,4,72,1,523,459,603,2,142,144,459,603,0,0,413,30,16,459,0,True,1821,2050,9,2,19,1,3,7,0,6,16,2,7,5,2,4,1,3,1,0,0,0,1,112,4,0,2,0,3,2,2,1,198,التحالف الديمقراطي:  حركة النهضة:  الاتحاد الوطني الحر:  نداء تونس :  الحزب الجمهوري:  
12,5,4,71,6,563,429,600,3,168,171,429,600,0,0,416,12,1,429,0,True,"18,25","21,20",22,0,23,5,1,7,2,22,15,0,0,9,0,8,0,0,0,1,0,1,0,89,1,0,0,0,0,2,0,1,207,الجبهة الشعبية:  نداء تونس :  الاتحاد الوطني الحر:  حركة النهضة:  
12,5,4,71,5,565,450,602,11,141,152,450,602,0,0,444,1,5,450,0,False,18h35,21h30,24,1,17,2,0,13,0,30,18,2,6,5,0,5,0,1,1,0,1,0,0,121,3,0,0,0,0,4,0,0,190,الاتحاد الوطني الحر:1  التيار الديمقراطي:1  حركة النهضة:1  نداء تونس :1  آفاق تونس:1  
12,5,4,71,4,565,475,600,1,124,125,475,600,0,0,467,3,5,475,0,True,1837,2200,11,0,16,3,0,8,0,14,11,0,6,11,0,5,0,1,0,0,1,0,1,183,0,0,0,0,0,3,1,0,193,آفاق تونس:1  نداء تونس :2  حركة النهضة:1  الحزب الاشتراكي:1  
12,5,4,71,3,565,496,600,6,98,104,496,600,0,0,489,7,0,496,0,True,1845,2030,12,0,28,3,1,8,1,13,31,0,5,4,0,2,0,2,0,0,0,1,0,184,3,0,0,1,0,2,0,0,188,الاتحاد الوطني الحر:1  نداء تونس :1  التحالف الديمقراطي:1  آفاق تونس:1  حركة النهضة:1  الحزب الليبرالي التونسي:1  
12,5,4,71,2,565,505,600,5,91,96,504,600,0,1,475,22,7,504,0,True,1830,2230,6,0,12,2,3,8,0,9,10,1,6,6,0,9,0,5,3,0,1,0,0,141,2,4,0,1,3,1,1,0,241,التحالف الديمقراطي:1  نداء تونس :1  حركة النهضة:1  
