circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أولاد الشعب,أولاد زغوان,اتحاد الشباب الديمقراطي التونسي,اتحاد القوى الشبابية,الأمان بزغوان,الاتحاد الوطني الحر,البناء الوطني,التحالف الحر,التحالف الديمقراطي,التحدي لمستقبل أفضل,التكتل من أجل العمل والحريات,التيار الديمقراطي,الثقافة والتنوع,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,الصفاء,العدل أساس الملك,العلم نور,القائمة المستقلة لولاية زغوان ,المؤتمر من أجل الجمهورية,المبادرة,النسري,النسور ,النصر,تحيا تونس,تونسنا,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة النهضة,حركة وفاء,حزب تونس للجميع,حزب صوت الفلاحين,شباب تونس,شباب زغوان لحزب المستقبل,صوت شعب تونس,قائمة الأمل,حركة نداء تونس,نداء قرطاج,observers
13,5,2,82,3,519,331,600,1,268,269,331,600,0,0,326,1,4,331,0,False,18h45,21h45,13,0,0,0,0,0,34,2,0,2,0,1,4,0,6,0,3,1,6,0,0,0,0,4,0,9,5,0,0,0,0,1,1,0,55,2,4,1,1,3,0,0,167,1,الاتحاد الوطني الحر:3  الحركة الدستورية:1  نداء تونس:1  حركة النهضة:2  
13,5,2,82,2,519,404,600,1,196,1,403,404,196,1,391,7,5,403,0,False,18:30,22:15,21,0,3,0,0,0,26,5,4,11,1,2,1,0,9,0,2,3,3,0,0,0,0,6,2,5,4,0,2,1,0,3,3,1,82,9,1,1,2,3,2,0,172,1,تونسنا:1  الاتحاد الوطني الحر:1  حركة النهضة:1  آفاق تونس:1  نداء تونس:1  
13,5,2,82,1,519,420,599,1,178,179,420,599,0,0,388,11,21,420,0,False,18.30,21.15,21,1,2,0,0,1,22,7,0,3,0,4,5,2,5,2,1,10,5,0,1,0,0,4,4,5,4,2,2,0,1,9,4,1,68,3,5,6,5,3,4,1,162,2,حركة النهضة:  تيار المحبة:  آفاق تونس:  نداء تونس:  الاتحاد الوطني الحر:  
13,5,2,81,2,437,289,494,1,204,205,289,494,0,0,283,5,1,289,0,True,18.38,20.15,6,1,0,0,1,1,37,2,20,3,2,1,2,0,21,1,0,1,3,0,0,0,0,0,0,8,4,0,2,0,0,8,4,0,44,2,2,1,1,0,0,0,105,0,حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
13,5,2,81,1,437,337,499,1,162,163,337,499,162,0,292,17,27,337,0,True,18.15,20.17,3,0,1,1,0,0,23,2,20,2,0,3,1,0,15,0,1,4,1,0,2,0,1,2,2,2,3,1,3,0,4,16,1,1,33,4,13,0,1,1,1,1,122,1,نداء تونس:2  حركة النهضة:1  الاتحاد الوطني الحر:1  الحركة الدستورية:1  
13,5,2,80,4,500,350,600,0,250,250,350,600,0,0,343,1,6,350,0,False,19.00,21.18,11,0,2,1,0,0,45,1,1,6,1,0,7,0,20,0,0,2,6,0,0,1,1,2,1,12,5,0,0,0,0,2,2,0,43,0,2,0,0,1,0,0,167,1,نداء تونس:2  حركة النهضة:3  الاتحاد الوطني الحر:1  
13,5,2,80,3,502,364,600,1,235,236,364,600,0,0,355,3,6,364,0,False,19.28,21.21,16,0,1,1,1,0,28,3,2,8,0,2,3,1,7,0,0,1,3,0,1,0,0,4,1,7,5,0,1,0,0,5,2,0,61,0,0,0,0,1,0,0,190,0,آفاق تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  
13,5,2,80,2,502,412,600,1,187,188,412,600,0,0,401,5,6,412,0,False,19h26,21h45,7,0,2,0,0,0,27,5,1,6,0,2,0,1,11,0,0,7,5,0,1,0,2,3,0,5,7,0,1,0,1,3,7,1,80,4,6,0,0,1,0,0,204,1,الاتحاد الوطني الحر:2  حركة النهضة:1  نداء تونس:1  التحالف الحر:1  المبادرة:1  
13,5,2,80,1,502,424,600,0,176,176,424,600,0,0,376,32,16,424,0,False,"19,26","22,30",13,0,4,3,1,0,26,3,1,18,1,1,3,0,8,0,2,8,2,1,1,0,1,2,1,11,12,1,2,0,1,4,5,3,52,2,3,2,2,0,1,0,174,1,شباب زغوان لحزب المستقبل:  الاتحاد الوطني الحر:2  
13,5,1,79,3,524,390,600,0,210,210,390,600,0,0,382,3,5,390,0,False,"18,30","20,45",14,0,2,1,2,1,31,0,2,5,1,6,17,0,41,0,1,4,4,0,0,0,0,0,0,11,5,0,0,0,0,3,2,1,98,3,0,0,3,1,0,0,123,0,شباب زغوان لحزب المستقبل:  حركة النهضة:  نداء تونس:  الحزب الاشتراكي:  الاتحاد الوطني الحر:  
